nid,field_ligacao_j,field_especificacao_j,field_referencia_j,field_numero_j,field_regiao_j,field_local_j,title,field_data_j,field_tempo_j,field_quantidade_j,field_producao_j,field_rolonum_j,field_tipo_video_j,field_numero_filme_j,field_pais_j,field_genero_j,field_idioma_original_j,field_legenda_j,field_versao_j,field_sistema_j,field_imagem_j,field_direcao_j,field_roteiro_j, field_fotografia_j,field_musica_j,field_elenco_j,field_premiacao_j
47423,100,"Lucía. Sinopse: O filme mostra três momentos da história cubana, centrados em personagens femininos de nome Lucía, e suas histórias de amor.  O primeiro episódio situa-se em 1895 - início da Segunda Guerra de Independência - período que marcou a passagem do domínio espanhol para o norte-americano. O segundo episódio (1933-1934) trata da revolta contra a repressão imposta pelo ""liberal"" Gerardo Machado, eleito presidente em 1924, e da greve geral que resultou na sua renúncia e no início do processo de ascensão do coronel Fulgêncio Batista.  A parte final mostra a década de 60, período de consolidação da Revolução Cubana, destacando-se a utilização da popular canção ""Guantanamera"" como instrumento de transmissão dos preceitos revolucionários.",9,9.0,,,Lucía,1968,160',1.0,Instituto Cubano del Arte y Industria Cinematográfica - ICAIC,,Comercial,9.0,Cuba,Ficção,Espanhol,Não,,VHS/NTSC,Preto e Branco,Humberto Solás,"Humberto Solás, Julio García Espinos e Nelson Rodríguez",Jorge Herrera,Leo Brower,"Raquel Revuelta, Eslinda Nuñes, Adela Legrá",
47424,101,"La Víspera. Sinopse: Um dia antes da posse do novo presidente da República, o engenheiro Manuel Miranda espera, em companhia de alguns familiares e colaboradores próximos, o chamado que o confirmará como secretário de Estado no gabinete do novo presidente.  O engenheiro Miranda foi ministro do governo de Adolfo López Mateos, e desde que terminou sua gestão, há doze anos, vem esperando a oportunidade de reintegrar-se à vida pública.  No dia em que transcorre a ação do filme, Manuel Miranda espera a confirmação da notícia.  Estas 24 horas em companhia de Miranda  permitem ao espectador refletir sobre o significado do poder, os políticos de uma época e sobre o nacionalismo, em seu cotidiano enfrentamento com forças externas.  (*)",10,10.0,,,La Víspera (*),1982,75',1.0,"Cine Códice S/A, Difusión Professional, Cooperativa Rio Mixcoac",,Comercial,10.0,México,,Espanhol,Não,,VHS/NTSC,Colorido,Alejandro Pelayo,Alejandro Pelayo,Federico Weingartshofer,"Ricardo Pérez Montfor, José Amozurrutía","Ernesto Gómez Cruz, María Rojo, Alfredo Sevilla, Salvador Sanches, Ana Ofelia Murguía",
47425,102,"Camila. Sinopse: Buenos Aires, 1847.  O amor apaixonado entre Camila O'Gorman, filha de rico estanceiro da Província, e Ladislao Gutiérrez, padre jesuíta, é mais forte que as convenções e a moral vigente.  Na Argentina dilacerada pela violência das tensões políticas entre unitários e federalistas, Juan Manuel de Rosas, governador de Buenos Aires de 1829 a 1858, combate seus inimigos com mão de ferro.  Baseado em fatos reais, o filme - uma parábola política da Argentina contemporânea - mostra a transformação de uma história de amor proibido em um problema político.  Rosas, respondendo aos inimigos unitários, exilados no Uruguai e no Chile, organiza uma verdadeira caçada aos amantes fugitivos, que termina tragicamente.",11,11.0,,,Camila,1984,105',2.0,GEA Cinematográfica/Imbata,,Comercial,11.0,Argentina,,Espanhol,Não,,VHS/NTSC,Colorido,María Luisa Bemberg,"(adaptado) María Luisa Bemberg, Beda O. Feijó, Juan Bautista Stargnaro",Fernando Arribas,Luis María Serra,"Susú  Pecoraro, Imanol Arias, Héctor Alterio,, Elena Tasisto, Carlos Munõz","Festival de Biarritz, 1984; Festival de Havana, 1984; Festival Karlovy Vary, Checoslováquia, 1984."
47426,158,"Aguirre, a Cólera dos Deuses. Sinopse: O filme conta a história da expedição do espanhol Francisco Pizarro à Amazônia, em 1560, em busca do lendário Eldorado.  Da expedição desgarra-se um pequeno grupo que a floresta, aos poucos, vai tragando.  Rodado na Amazônia peruana, o filme  trata de temas como a rebeldia e a ambição, que permearam o universo dos conquistadores no século XVI.",14,14.0,,,"Aguirre, a Cólera dos Deuses",1972,90',1.0,,,Comercial,14.0,Alemanha,,Alemão,Sim,,VHS/NTSC,Colorido,Werner Herzog,,,Popal Vuh,"Helena Rojo, Ruy Guerra, Peter Berling",
47427,159,"Revolução de 30 (A). Sinopse: É um filme-colagem de documentos, com imagens e música referentes à época. Edgar Carone, Boris Fausto e Paulo Sérgio Pinheiro explicam e comentam os acontecimentos marcantes do período e discutem questões que antecederam e que culminaram na Revolução de 30, dentre elas a formação de uma classe operária com suas reinvindicações e greves; o problema da imigração e a ascensão de Getúlio Vargas e do modelo populista de governo.",15,15.0,,,Revolução de 30 (A),1980,118',1.0,Sylvio Back,,Comercial,15.0,Brasil,,Português,Não,,VHS/NTSC,Colorido,Sylvio Back,Sylvio Back,Sylvio Back,Jairo Severiano,,
47428,237,"Juárez. Sinopse: O filme conta a história de Benito Pablo Juárez, que no início do século XIX conduziu a luta do povo mexicano contra o imperador francês que governava o México. Com um elenco de primeira linha, o filme reproduz a violência desta guerra que antecedeu a Revolução Mexicana, marcando  a história do México.",62,62.0,,,Juárez,1939,132',1.0,,,Comercial,62.0,EUA,,inglês,,,VHS/NTSC,Preto e Branco,William Dieterle,John Huston,,Erich Wolfgang Reinhardt,"Paul Muni, Bette Davis, Brian Aherne, Claude Rains, John Garfield, Donald Crisp",
47429,238,Heaven will Protect the Working Girl.,63,63.0,,,Heaven will Protect the Working Girl,,28',1.0,American Social History Film Library,,Comercial,63.0,EUA,,inglês,Não,,VHS/NTSC,Colorido,,,,,,
47430,239,"Palomita Blanca. Sinopse: Filmado no ano de 1973, num tempo recorde de cinco meses, ao custo de US$170.000,00, uma das obras mais caras do cinema chileno. Com o golpe militar de 73, o filme foi apreendido pelo governo, permanecendo desaparecido por 19 anos. Graças ao esforço de alguns de seus realizadores, foi possível recuperar o filme e exibí-lo.Trata-se de uma história de amor entre Juan Carlos e María, marcada por suas enormes diferenças sociais.",64,64.0,,,Palomita Blanca,1992,125',1.0,,,Comercial,64.0,Chile,,espanhol,Não,,VHS/NTSC,Colorido,Raul Ruíz,,Silvio Caiozzi,,"Beatriz Lapido, Rodrigo Ureta, Luis Alarcón, Mónica Echeverría",
47431,240,"La Frontera. Sinopse: Durante os últimos anos da ditadura militar no Chile, Ramiro Orellana é condenado ao exílio dentro de seu próprio país. Chega à zona conhecida como ""La Frontera"", limite histórico entre os índios mapuches e a colonização espanhola. La Frontera é uma terra inóspita e desolada, onde as culturas se encontram, um lugar marcado por catástrofes naturais, no fim do continente. Seus habitantes vivem sonhos e frustrações no limite da realidade. Ramiro Orellana, submetido ao controle das autoridades locais, acaba por descobrir uma nova dimensão da vida. (*)",65,65.0,,,La Frontera (*),1991,120',2.0,Eduardo Larrain,,Comercial,65.0,Chile,,espanhol,Não,,VHS/NTSC,Colorido,Ricardo Larrain,,Héctor Ríos,Jaime de Aguirre,"Patricio Contreras, Gloria Laso. Alonso Venegas, Héctor Nogueras","Urso de Prata, Berlim, 1992."
47432,411,"Tempos Modernos. Sinopse: Sátira mordaz à vida industrial, Tempos Modernos é o primeiro filme em que Caplin fez uso de efeitos sonoros - a última aparição de seu adorável vagabundo Carlitos. Aqui Chaplin interpreta o empregado de uma fábrica supermoderna, que entra em crise, perde o emprego e é obrigado a enfrentar o Depressão americana.",284,284.0,,,Tempos Modernos,1936,87',1.0,,,Comercial,0.0,,,,Não,,VHS,Colorido,,,,,,
